Customer,Model,Serial Number,Reference Number,WO CODE,PROGRAM,WO TYPE,WO INITIAL STATUS,GROUP,SITE,PURCHASE DATE,ReportedIssue,Customer_Info_1,Customer_Info_2,Customer_Info_3
EE / BT,IPHONE X 256G SPACE GRAY,354867093655268,6354817209,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G space gray,358629092101074,6354817217,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE 6S 32G space gray,356141099401129,6354817219,,,,,,,,Display/Main display/Display - Multiple Fractures/Chip(s) to Glass|Camera/General/Camera - Lens - Scratched,AS19052020-172,,
EE / BT,IPHONE 8 64G space gray,356396100881715,6354817220,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE 8 64G SILVER,358710090365281,6354817229,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,353042096813816,6354817246,,,,,,,,Display/Other picture problem/One or more vertical / horizontal lines missing|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,353048091519340,6354817375,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G space gray,354830097286944,6354817393,,,,,,,,Display/Main display/Display - Multiple Fractures/Chip(s) to Glass,AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354861094112551,6354817432,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,354877093636119,6354817435,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354872095843201,6354817448,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Display/Main display/Display - LCD Fractures (under the Glass)|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 64G GOLD,358709093392490,6354817516,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 256G SPACE GRAY,353045096118748,6354817594,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE X 256G SILVER,354878094878882,6354817618,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Display/Main display/Display - LCD Fractures (under the Glass),AS19052020-172,,
EE / BT,IPHONE 6S 32G space gray,353223102239267,6354817619,,,,,,,,Display/Main display/Display - Multiple Fractures/Chip(s) to Glass,AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G GOLD,354836097300759,6354817620,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354875091106275,6355667024,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354874094958139,6355667056,,,,,,,,Display/Main display/Display - LCD Fractures (under the Glass),AS19052020-172,,
EE / BT,IPHONE 8 64G GOLD,356079098067576,6355667076,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE 8 64G GOLD,356080097787289,6355667092,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G GOLD,358626092416767,6355667096,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Camera/General/Camera - Faulty|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 64G space gray,356082094773304,6355667097,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE 6S 32G space gray,353224100615730,6355667099,,,,,,,,Display/Main display/Display - Multiple Fractures/Chip(s) to Glass|Touch Screen/General/Touch Screen - no function,AS19052020-172,,
EE / BT,IPHONE 7 32G ROSE GOLD,356555086512988,6355667124,,,,,,,,Display/Main display/Display - LCD Fractures (under the Glass)|Display/Main display/Display - Multiple Fractures/Chip(s) to Glass,AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354872095034264,6355667173,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354868095026243,6355667180,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G GOLD,358630093021840,6355667191,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G RED,354835096026670,6355667210,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,354873094873835,6355667214,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354859093592286,6355667218,,,,,,,,Touch Screen/General/Touch Screen - no function,AS19052020-172,,
EE / BT,IPHONE 6S 32G space gray,359487088377821,6355667221,,,,,,,,Display/Main display/Display - Multiple Fractures/Chip(s) to Glass|Touch Screen/General/Touch Screen - no function,AS19052020-172,,
EE / BT,IPHONE 8 64G RED,356087097696006,6355667234,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354860090325399,6355667238,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G space gray,356769089830509,6355667248,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Camera/General/Camera - Faulty|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE 6 32G space gray,356145094543736,6355667263,,,,,,,,Display/Main display/Display - Multiple Fractures/Chip(s) to Glass,AS19052020-172,,
EE / BT,IPHONE 8 64G space gray,352992096920113,6355667293,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354861090314870,6355667294,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Touch Screen/General/Touch Screen - no function|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 64G space gray,358711091017178,6355667538,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 6S 32G space gray,356136096018777,6354817364,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Dropped),AS19052020-172,,
EE / BT,IPHONE 8 64G space gray,356082094911672,6355667047,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 7 32G ROSE GOLD,356561086705242,6355667058,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,359409083845909,6355667090,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE 7 32G SILVER,358686092571110,6355667101,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,354878094947505,6355667190,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,354859095928082,6355667195,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 256G SPACE GRAY,354877093273079,6355667198,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE 8 256G space gray,356758082624860,6355667228,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE 8 64G space gray,356080098995295,6355667229,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,354867094868803,6355667230,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,354869091446948,6355667236,,,,,,,,Display/Other picture problem/One or more vertical / horizontal lines missing,AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G space gray,354830097384988,6355667249,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Camera/General/Camera - Lens - Scratched|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE 6S 128G space gray,356143092071057,6355667258,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354874094864576,6355667276,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Display/Main display/Display - LCD Fractures (under the Glass)|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354859094929925,6355667278,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Camera/General/Camera - Faulty|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE 6S 32G space gray,356647082589654,6355667314,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G RED,354838096850826,6355667332,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 7 32G ROSE GOLD,358685090512381,6355667414,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354873094065002,6355667419,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G RED,358626090227000,6355667482,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 64G space gray,356395101321119,6355667543,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Camera/General/Camera - Lens - Scratched|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 64G space gray,356082096441678,6356391017,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 256G GOLD,356761080778142,6356391077,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354862094395758,6356391085,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,354878094950269,6356391093,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,354869092326743,6356391099,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,353039097384730,6356391102,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE 8 64G GOLD,356080094758416,6356391106,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Camera/General/Camera - Lens - Scratched|Display/Main display/Display - LCD Fractures (under the Glass),AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G RED,354831093579324,6356391107,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Display/Main display/Display - LCD Fractures (under the Glass)|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 64G GOLD,356396104128626,6356391158,,,,,,,,Display/Main display/Display - LCD Fractures (under the Glass)|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,354878094752657,6356391174,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354871093814487,6356391191,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 64G GOLD,358708094654254,6356391206,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 6S 32G space gray,356140096921949,6356391243,,,,,,,,Display/Main display/Display - Multiple Fractures/Chip(s) to Glass,AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G GOLD,359500085358626,6356391247,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 64G SILVER,358708096985441,6356391249,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 64G GOLD,356395108206032,6356391258,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 64G GOLD,356394104617722,6356391313,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 64G space gray,358709092780737,6356391315,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,353039099925431,6356391317,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Camera/General/Camera - Faulty|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,359406089239822,6356391318,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
EE / BT,IPHONE 8 64G SILVER,358712090664242,6356391324,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Display/Main display/Display - LCD Fractures (under the Glass)|Display/Other picture problem/One or more vertical / horizontal lines missing,AS19052020-172,,
EE / BT,IPHONE 8 64G space gray,358711091761734,6356391326,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked|Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 64G SILVER,356081091218867,6356391330,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,354871094557655,6356391337,,,,,,,,Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354868094777853,6356391343,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354877092428104,6356391344,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked|Display/Main display/Display - LCD Fractures (under the Glass)|Cosmetic/Housing Front/Housing Rear - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 64G GOLD,358709099797833,6356391353,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE 8 PLUS 64G SILVER,356771089750406,6356391424,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SPACE GRAY,354869094175445,6356391445,,,,,,,,Cosmetic/Housing Front/Housing Front - Cracked,AS19052020-172,,
EE / BT,IPHONE X 64G SILVER,354876092114011,6356391458,,,,,,,,Cosmetic/General/Cosmetics - Extreme Abrasion/Scratches (Puncture),AS19052020-172,,
